0.15771	0.38099	-0.29047	-0.11581	0.16697	-0.03877	-0.12307	-1.25077	-1.54037	-3.16880	-1.75951	-2.62961	-4.80624
0.15848	0.38500	-0.29080	-0.11214	0.15706	-0.04306	-0.11999	-1.24444	-1.52889	-3.17868	-1.76546	-2.63433	-4.81858
0.15736	0.38952	-0.29154	-0.10857	0.14520	-0.04499	-0.11733	-1.23856	-1.51597	-3.18061	-1.76158	-2.63234	-4.81763
0.15444	0.39432	-0.29254	-0.10483	0.13230	-0.04444	-0.11523	-1.23324	-1.50281	-3.17551	-1.74921	-2.62504	-4.80473
0.14990	0.39909	-0.29352	-0.10064	0.11942	-0.04170	-0.11381	-1.22829	-1.49061	-3.16439	-1.73002	-2.61374	-4.78138
0.14398	0.40349	-0.29416	-0.09585	0.10763	-0.03729	-0.11321	-1.22346	-1.48040	-3.14834	-1.70599	-2.59965	-4.74936
0.13696	0.40724	-0.29416	-0.09046	0.09784	-0.03193	-0.11347	-1.21854	-1.47305	-3.12841	-1.67919	-2.58377	-4.71073
0.12913	0.41011	-0.29333	-0.08462	0.09056	-0.02650	-0.11441	-1.21348	-1.46918	-3.10546	-1.65144	-2.56684	-4.66770
0.12083	0.41187	-0.29153	-0.07856	0.08587	-0.02185	-0.11574	-1.20834	-1.46909	-3.08013	-1.62418	-2.54942	-4.62230
0.11227	0.41233	-0.28869	-0.07256	0.08351	-0.01869	-0.11711	-1.20330	-1.47266	-3.05290	-1.59847	-2.53187	-4.57627
0.10356	0.41129	-0.28470	-0.06685	0.08303	-0.01743	-0.11820	-1.19864	-1.47931	-3.02410	-1.57519	-2.51433	-4.53088
0.09478	0.40871	-0.27942	-0.06158	0.08395	-0.01823	-0.11872	-1.19475	-1.48812	-2.99401	-1.55489	-2.49677	-4.48701
0.08611	0.40472	-0.27271	-0.05675	0.08581	-0.02111	-0.11842	-1.19207	-1.49794	-2.96305	-1.53770	-2.47898	-4.44523
0.07783	0.39956	-0.26457	-0.05216	0.08831	-0.02592	-0.11706	-1.19115	-1.50761	-2.93181	-1.52335	-2.46063	-4.40596
0.07019	0.39358	-0.25510	-0.04741	0.09130	-0.03201	-0.11451	-1.19243	-1.51613	-2.90097	-1.51131	-2.44157	-4.36963
0.06341	0.38721	-0.24450	-0.04197	0.09489	-0.03838	-0.11075	-1.19621	-1.52276	-2.87124	-1.50110	-2.42199	-4.33675
0.05766	0.38091	-0.23320	-0.03518	0.09940	-0.04395	-0.10592	-1.20255	-1.52696	-2.84328	-1.49223	-2.40233	-4.30780
0.05311	0.37520	-0.22173	-0.02645	0.10521	-0.04771	-0.10025	-1.21119	-1.52820	-2.81786	-1.48416	-2.38315	-4.28317
0.04998	0.37051	-0.21067	-0.01539	0.11267	-0.04887	-0.09404	-1.22150	-1.52609	-2.79589	-1.47636	-2.36512	-4.26292
0.04836	0.36720	-0.20061	-0.00200	0.12184	-0.04677	-0.08761	-1.23268	-1.52056	-2.77824	-1.46855	-2.34898	-4.24683
0.04820	0.36560	-0.19210	0.01332	0.13250	-0.04095	-0.08140	-1.24390	-1.51181	-2.76560	-1.46094	-2.33561	-4.23457
0.04940	0.36595	-0.18578	0.02991	0.14411	-0.03135	-0.07591	-1.25436	-1.50024	-2.75854	-1.45401	-2.32595	-4.22601
0.05187	0.36832	-0.18234	0.04693	0.15593	-0.01824	-0.07167	-1.26355	-1.48627	-2.75739	-1.44836	-2.32087	-4.22134
0.05551	0.37258	-0.18234	0.06351	0.16713	-0.00211	-0.06915	-1.27124	-1.47032	-2.76211	-1.44457	-2.32098	-4.22096
0.06010	0.37840	-0.18595	0.07880	0.17704	0.01645	-0.06872	-1.27738	-1.45294	-2.77216	-1.44310	-2.32666	-4.22549
0.06537	0.38530	-0.19298	0.09216	0.18529	0.03670	-0.07054	-1.28190	-1.43483	-2.78654	-1.44432	-2.33790	-4.23564
0.07096	0.39268	-0.20294	0.10315	0.19181	0.05771	-0.07462	-1.28453	-1.41682	-2.80415	-1.44852	-2.35446	-4.25198
0.07652	0.39990	-0.21525	0.11150	0.19676	0.07844	-0.08086	-1.28497	-1.39975	-2.82418	-1.45568	-2.37604	-4.27476
0.08157	0.40641	-0.22937	0.11709	0.20041	0.09792	-0.08897	-1.28319	-1.38444	-2.84611	-1.46543	-2.40234	-4.30387
0.08555	0.41183	-0.24477	0.11988	0.20319	0.11542	-0.09853	-1.27939	-1.37163	-2.86953	-1.47712	-2.43294	-4.33896
0.08788	0.41598	-0.26091	0.11985	0.20565	0.13030	-0.10904	-1.27391	-1.36182	-2.89413	-1.49009	-2.46728	-4.37953
0.08815	0.41886	-0.27720	0.11699	0.20839	0.14198	-0.11989	-1.26714	-1.35525	-2.91957	-1.50382	-2.50472	-4.42490
0.08611	0.42049	-0.29306	0.11140	0.21183	0.15014	-0.13045	-1.25925	-1.35177	-2.94547	-1.51796	-2.54463	-4.47415
